Size,Amount(in rupees),location,Floor,Transaction,Furnishing,Bathroom,Balcony
1,74.8,67,5,2,2,1,0
1,15,67,3,2,3,1,0
4,430.99999999999994,67,14,2,1,4,1
2,159,67,5,2,3,2,3
2,82,67,1,2,2,2,0
2,72,67,4,2,3,2,1
1,17,67,3,2,3,1,1
1,40,67,0,2,1,1,0
1,34,67,2,2,2,1,3
2,200,67,10,2,2,2,2
1,55,67,3,2,2,1,0
1,29.5,67,1,2,3,1,0
2,110.00000000000001,67,8,2,1,2,0
1,52,67,1,1,1,2,3
2,90,67,7,2,3,2,0
2,122,67,10,2,2,2,2
2,185,67,10,2,3,2,1
1,55,67,2,2,2,2,1
1,58,67,4,2,2,1,0
1,23.3,67,2,1,3,1,2
2,88,67,3,2,2,2,2
2,95,67,10,2,2,2,0
2,98,67,3,2,2,2,2
1,100,67,22,2,3,2,0
2,118,67,14,2,2,2,2
1,22,67,0,2,3,1,0
2,59,67,5,2,3,2,2
1,50,67,5,2,3,1,0
3,150,67,8,2,2,3,1
1,42.9,67,2,2,3,2,1
1,28,67,13,2,2,2,3
1,48,67,5,2,3,1,1
1,52,67,6,2,2,1,0
3,369,67,3,2,3,3,1
2,88,67,3,2,3,2,0
1,23.5,67,2,2,3,2,0
2,35,67,7,2,2,2,1
2,90,67,1,2,2,2,0
1,27,67,3,2,2,1,0
5,500,67,30,2,3,5,1
2,80,67,2,2,3,2,0
1,27.5,67,1,2,2,1,1
2,44,67,16,2,3,2,1
2,89,67,11,2,2,2,1
1,25,67,4,2,2,2,0
1,65,67,19,2,2,2,0
1,54,67,3,2,2,2,2
3,108,67,4,2,3,3,3
2,132,67,4,2,2,2,3
1,55,67,3,2,3,2,1
2,80,67,4,2,1,2,1
1,25,67,0,2,2,1,0
1,45.5,67,3,2,1,1,0
2,185,67,13,1,3,2,0
2,77,67,16,2,3,2,2
1,52,67,6,1,3,2,1
1,95,67,1,2,3,1,2
1,68,67,7,2,2,1,0
2,149,67,19,2,2,2,1
3,95,67,10,2,1,3,0
2,70,67,5,2,2,2,1
2,165,67,11,2,2,2,3
2,55,67,4,2,2,2,1
2,120,67,8,2,2,2,2
2,23,67,4,2,3,2,2
2,165,67,5,2,3,2,3
1,70,67,5,2,1,2,1
2,34,67,2,2,3,2,3
1,21.9,67,2,1,3,1,3
2,40,67,2,2,3,2,3
3,95,67,5,2,1,3,0
4,725,67,7,2,1,4,1
2,135,67,11,2,3,2,0
3,225,67,14,2,2,3,1
2,110.00000000000001,67,2,2,2,2,0
1,42,67,3,2,3,2,0
2,114.99999999999999,67,25,2,3,2,0
2,80,67,6,2,2,2,3
2,115.99999999999999,67,13,2,2,2,2
2,47,67,2,2,2,2,3
2,35,67,1,2,1,2,0
2,127,67,6,2,2,2,0
2,65,67,4,2,3,1,1
2,140,67,2,2,1,2,3
1,14,67,2,2,2,1,0
2,36,67,6,2,3,1,2
1,57,67,22,2,3,2,0
2,105,67,13,2,3,2,1
3,310,67,10,2,3,3,1
1,32,67,3,2,3,1,0
1,48.5,67,19,1,2,2,1
1,19,67,0,2,1,1,1
2,59,67,9,2,3,2,0
3,340,67,11,2,2,3,1
2,80,67,3,2,2,2,2
1,22,67,1,2,3,1,0
1,27,67,2,2,3,1,0
2,156,67,8,2,1,2,0
2,156,67,8,2,1,2,0
2,78,67,12,2,3,2,2
2,90,67,4,2,3,2,0
1,34,67,1,2,2,1,0
2,41,67,8,2,2,2,1
2,96,67,8,2,3,2,1
1,117,67,5,1,3,1,1
2,24,67,1,2,3,1,0
1,38,67,2,2,3,2,2
2,95,67,9,2,2,2,0
1,28,67,3,2,0,1,0
2,165,67,5,2,0,2,0
2,97,67,10,2,3,2,1
2,150,67,28,2,3,2,4
2,80,67,8,2,1,2,3
2,98,67,11,2,3,2,1
2,90,67,7,2,3,2,0
2,85,67,21,2,2,2,3
1,59,67,15,1,3,2,0
1,60,67,16,1,3,2,0
1,60,67,15,1,3,2,0
1,16,67,2,2,3,1,0
1,75.1,67,15,2,2,2,0
1,59,67,22,2,3,2,0
2,106,67,5,1,3,2,2
2,104,67,1,2,2,2,1
